is_relevant,news
TRUE,Communist Party of India Maoist CPI Maoist cadres allegedly killed two surrendered Naxalites Left Wing Extremists LWEs after branding them as a Police informers in Dandakaranya forest area in Bijapur District late on March 28 reports The Hindu One of the deceased was identified as Irpa Laxman alias Bharath 25 a surrendered Maoist from Pusuguppa a remote tribal hamlet in Charla Mandal administrative sub division of Telangana while the identity of the other person was yet to be ascertained Sources said that a group of Maoist rebels whisked away Laxman along with another surrendered Maoist of Usur Tehsil revenue division of Bijapur District into Utlapalli forest area in the Maoist stronghold of Bastar Division and grilled both of them in a Praja Court kangaroo court held by the Maoists charging the duo with acting as Police informers They allegedly attacked the duo with boulders killing Laxman on the spot Another surrendered Maoist yet to be identified reportedly succumbed to bleeding injuries late on Wednesday March 28 night The ultras left behind a note in the name of CPI Maoist Bhadradri Kothagudem East Godavari Division Committee holding a surrendered Maoist responsible for the recent major encounter in Bijapur district in which 10 Maoists were gunned down
TRUE,"The Kurram Agency Pakistan Peoples Party (PPP) President Hamid Hussain Toori was shot dead by unidentified assailants in Parachinar town of Kurram Agency in Federally Administered Tribal Areas (FATA) on July 12, reports Dawn. The motive behind the target killing is yet to be ascertained as the assassinated leader of the PPP had no enmity with anyone."
TRUE,"three persons sustained minor injuries when suspected militants blew up a tanker, supplying oil to NATO forces in Afghanistan, near Karkhano Market in the limits of Hayatabad Police Station in Peshawar, reports Dawn. An official of Hayatabad Police Station said that suspected militants had fixed a magnet bomb at the tanker and detonated it when the vehicle reached near the busy Karkhano Market. The injured were identified as Mohammad Qasim, Shamsuddin and Shamsur Rehman."
TRUE,"Unidentified assailants threw a hand grenade into a house in Khuzdar. However, no casualties were reported in the grenade attack."
TRUE,Taliban militants took control of two villages of the Khwaja Sabzposh District of Faryab Province reportsPajhwok Afghan Newson May 14
TRUE,A civilian identified as Ishfaq Ahmad Ganie was critically injured in a firing incident at Chittergam area of Budgam District on November 23 evening reports Daily Excelsior He was injured near an Army camp at Chittergam in Budgam District Defence spokesman Rajesh Kalia said that Ishfaq Ahmad Ganie was shot at by the militants 500 600 meters away from Army Camp at Chittergam When the Army heard sound of firing the Quick Reaction Team immediately rushed towards the direction of fire to find out what was happening  When the party reached the spot they saw Ishfaq in a pool of blood
TRUE,"Three people were killed in two separate incidents of firing in Gilgit Baltistan (GB) on August 21, reports The Express Tribune. Gunmen shot dead two traders, Abdul Haleem and Mirza, near Sekwar area on the outskirts of Gilgit city. The deceased belonged to Swat are of Khyber Pakhtunkhwa and were running a business in Gilgit. Ali Sher, Deputy Inspector General (DIG) of Police, Sher said that a few suspects have been arrested in connection with the killing."
TRUE,"The female Communist Party of India Maoist (CPI Maoist) cadre killed in an exchange of fire with Security Force (SF) personnel inside Sunabeda sanctuary in Nuapada District of Odisha on April 14 was identified as Jayanti, an armed cadre of Mainpur Nuapada divisional committee of the CPI Maoist. Joint operation by Odisha and Chhattisgarh Police continued in the area to track down the Maoist group involved in the encounter. A .303 rifle, some ammunition and other materials of Maoist were seized from the spot of encounter."
TRUE,A group of suspected National Socialist Council of Nagaland Isak Muivah NSCN IM militants attacked a post of Indian Reserve Battalion IRB at Noney District and decamped with large number of weapons reports Times of India At least 20 weapons have been reportedly snatched from the IRB men NSCN IM spokesman V Horam denied the involvement of the outfit as suspected He said This is a political conspiracy in Manipur aimed at coming assembly elections
TRUE,"A man was shot dead within the precincts of Manghopir Police Station. Police said that the victim identified as Zafer Imam, was shot to death by unidentified assailant."
TRUE,The Sangai Express reports that unidentified miscreants launched a grenade attack at the residence of Mohammad Ramizuddin (42) at Sangaiyumpham Puleipokpi in Thoubal District in the intervening night of March 23 and March 24. Ramizuddin is a member of Sangaiyumpham Panchayat (village level local self government institution). Part of the house was damaged in the blast although no casualty was reported.
TRUE,"The Maoists killed Jaleshwar Prajapati (38), a councillor of ward VI of Tilaiya panchayat (village level local self Government institution) under Mahuataad Police Station in Bokaro District, reports Telegraph. Prajapati was abducted at around 10 pm in the night of April 12 by a gang of around 48 Maoists and later, sentenced to death in a kangaroo court. Assistant Superintendent of Police (ASP) Bermo Tamil Banan confirmed the killing, but refused to comment on speculation that the body hadn t been removed till late evening as the Police feared Maoists might have planted explosives near it. A pamphlet left by the Maoists near the body warned that Supporters of Police will meet this fate , adds IBNLive."
TRUE,"A contractor was abducted by militants a week ago from Shallang area in West Khasi Hills District, the National People s Party (NPP) legislator from Songsak Nihim D Shira informed the House on March 11, reports The Shillong Times. Shira, while taking part in the debate on Governors address said that the victim identified as Chares Momin was the contractor with Pradhanmantri Gram Sadak Yojana (PMGSY, Prime Ministers Village Road Construction Scheme) road scheme."
TRUE,Separately Superintendent of Police SP Muhammad Ilyas was killed in Nawan Killi area of Quetta the Provincial capital of Balochistan on November 15 along with three family members reports Dawn A passer by was also injured in the attack According to Deputy Inspector General DIG Abdul Razzaq Cheema the SP was killed when three armed men whose identity are yet to be ascertained riding on a motorcycle intercepted his car and opened fire killing him along with his wife son and granddaughter
TRUE,"A Communist Party of India Maoist (CPI Maoist) cadre was killed during an exchange of fire with Security Force (SF) personnel in the forests of Tarlaguda village under Golapalli Police Station limits in Sukma District on February 20, reports PTI. A composite squad of Special Task Force (STF) and District Reserve Group (DRG) led by Sukma Superintendent of Police (SP) D. Shravan and Additional SP Santosh Singh were carrying out anti Maoist operation in the interiors of Golapalli for the past few days. While they were cordoning off Tarlaguda forests, an encounter broke out between the SF personnel and the Maoists. The Maoists, however, soon fled into the deep forests on finding SFs personnel zeroing in on them. Later during search, the body of a cadre clad in uniform , beside a muzzle loading gun, tiffin bomb fitted with detonators, gun powder, Insas rifle rounds and Maoist literature were recovered from the spot. The killed Maoist was identified as Madkam Muda, a Jan militia (peoples militia) member."
TRUE,An IDP identified as Dure Kamil was shot dead by unidentified armed assailants while he was on his way home in Jhandokhel area within the limits of Township Police Station in Bannu District on April 5 reports The News
TRUE,"15 people, including three children, were injured in a grenade attack on Jama at ud Dawa (JuD) madrassa, Baitul Mukarrama Al hadees, in Tehkal area of provincial capital Peshawar, reports Dawn. Superintendent Police (SP) Cantonment Peshawar Kashif said that the assailants opened fire and lobbed grenades at the seminary."
TRUE,"A bomb hidden in a tiffin box and planted inside a parked jeep at the Kollam civil station premises in Kollam District of Kerala exploded at around 10.45am on June 15 , injuring one person, reports The Times of India. The civil station houses the district collector s office apart from several courts and government offices.Though it was a low intensity explosion, Police are examining all possibilities including a terrorist link. Thiruvananthapuram Range IG Manoj Abraham, who visited the spot, said that the explosion was of a serious nature and more than one individual may have been involved. He also said that the Police are not ruling out the involvement of extremist groups.Police confirmed that gun powder had been used in the bomb at Kollam. Kollam city Police Commissioner, S Sathish Bino, said eight teams have been formed to probe the case. He said a clear picture would emerge only after a detailed probe."
TRUE,"In a separate incident, the Maoists killed a quarry owner, identified as Baburam Kisku, in Chitragadia village in Dumka District. Superintendent of Police (SP) Hemant Toppo said more than 15 cadres attacked Kisku s house and shot him dead. Kisku s sister in law was also injured in the firing, Toppo added. They also set ablaze two vehicles,a jeep and an earth digging machine, parked near his house"
TRUE,"A former militant, identified as Salam Sanajaoba (28), was shot dead by three unidentified armed assailants at Sadhu Yenkhuman village under Sagolmang Police Station in Imphal East District on February 4, reports Nagaland Post. He was a cadre of the Kangleipak Communist Party Military Council (KCP MC), who had surrendered one and a haft year ago."
TRUE,"Abducted trader from Adokgre, identified as Batchu Jain was released unharmed by Garo National Liberation Army (GNLA) militants in an isolated area of North Garo Hills District on February 22 early morning, a week after he was taken away at gunpoint while travelling to his home in neighbouring Assams Dhupdhara town in Goalpara District, reports The Shillong Times. Police sources revealed that the trader was released by GNLA militants after his family allegedly paid a ransom of INR 2.5 lakh on February 21 following which the banned outfit let him off at an isolated spot somewhere along the Assam North Garo Hills border between 3 4 AM on February 22. North Garo Hills Police were unable to question him as the family of the victim had quickly taken him away to Guwahati within hours of his release. It is believed that the militants behind the abduction were compelled to release him early on the directions of the GNLA high command due to the pressure mounted on them from the ongoing police operations to flush them out."
TRUE,"A teacher died after allegedly being physically assault by suspected cadres of the Isak Muivah faction of National Socialist Council of Nagaland (NSCN IM) at Aimol Satu Village in Tengnoupal Tehsil (revenue unit) in Chandel District on March 1 (today), reports Business Standard. T S Hegin Haokip (48) of Molnam village was taken away by suspected NSCN IM militants last night around 7 PM and was severely assaulted, a senior Police officer said. He succumbed to his injuries this morning, triggering tension among ethnic Kuki population of the area. The body of the deceased was taken by a crowd from his village towards the residence of a suspected killer at Aimol Satu village. They were stopped due to random firing by suspected NSCN IM militants, the officer said. Later, the crowd regrouped and blocked Imphal Moreh route and prevented vehicular traffic. It also set ablaze a few shops, he said.In the meantime, Kuki Inpi Manipur (KIM an apex body of the Kukis) and Kuki Students Organisation General Headquarters (KSO GHQ) give 24 hour ultimatum to the state Government to arrest the culprits in the killing of T S Hegin Haokip before cautioning that if the Government fails to response positively within the stipulated time, the Kuki community could engage in anything that could fetch us justice over the incident, reports Kanglaonline."
TRUE,A passenger train Visakhapatnam Kirandul passenger train derailed allegedly after Maoists damaged the rail track near Kamaloor railway station in Dantewada District of Chhattisgarh late on August 8 reports The New Indian Express According to reports however there was no report of any casualties in the incident Dantewada Superintendent of Police SP Abhishek Pallava said
TRUE,"A Counter Terrorism Department (CTD) Police Constable, identified as Shahab Haider (45), was shot dead by unidentified armed assailants in Jamshed Quarters area of Jamshed Town in Karachi, the provincial capital of Sindh, on September 20, reports The Express Tribune."
TRUE,"The I.K. Songbijit faction of the National Democratic Front of Bodoland (NDFBIKS) militants killed a couple in Chirang District at around midnight on August 18 night for allegedly being in possession of the outfits extortion money, reports The Indian Express. Police and Defence sources on August 19 (today) said a group of seven to eight militants of NDFBIKS came to the couples house at ShantiparaSulekhaguri village on August 18 night and tied their limbs before killing them with sharp weapons. Before being killed, the couple was beaten up in front of their children who ran out to their neighbours houses in fear, local people said. The deceased man was identified as Buta Benga, an overground worker of the outfit, who was in possession of extortion money totaling INR 45 Lakhs which belonged to NDFBIKS dreaded leader Bidai, the sources said."
TRUE,A non local shopkeeper Dharmendra Kumar alias Aju 40 was shot dead by unidentified assailants in Manipurs border town of Moreh in Chandel District on October 29 night reports Nagaland Post The deceased wife Chanda was also severely injured when suspected militants fired several rounds of guns Police said that two armed persons suspected to be militants coming on a two wheeler fired several rounds at a shop
TRUE,Meanwhile the underground organization Manipur Naga Peoples Front MNPF on August 30 claimed responsibility for explosion that occurred at the private residence of Naga Peoples Front NPF MLA Member of Legislative Assembly Samuel Risom which also houses NPF office on August 28 at Deulahlane in Imphal reports Morung Express If the state unit of NPF was working in the interest of Naga people such incidents would not have taken place The organisation had exploded the bomb in the interest of the Nagas  stated a statement released by MNPF Assistant Publicity Secretary Thomas Numai It said the attack by the front was not meant to target civilians and that it does not want occurrence of such incidents The outfit claimed that NPF candidates who came out victorious in the last state assembly election were not choice of the Naga electorate MNPF claimed that the IsakMuivah faction of National Socialist Council of Nagaland NSCNIM used force against the people to vote in favour of the NPF candidates in the election and everybody knows it well
TRUE,The Communist Party of India Maoist CPI Maoist cadres set on fire four vehicles and machines engaged in road construction work near Koyabekur village under Fulbagdi Police Station limits in Sukma District on April 7 reports OdishaTV A road is being constructed under the Prime Minister Gram Sadak Yojna PMGSY at Koyabekur around 500 kilometres from the State capital Raipur Superintendent of Police SP Abhishek Meena said As per preliminary information a group of 7 8 Maoists dressed as civilians stormed the road construction site and asked the labourers there to stop work SP Meena said adding before leaving the spot the Maoists set ablaze four vehicles and machines including one paver machine and a tipper truck
TRUE,"The Communist Party of India Maoist (CPI Maoist) on July 20 owned up responsibility for the Aurangabad encounter on July 18 at Dumaria Nala forest area in Aurangabad District, in which 10 Central Reserve Police Force (CRPF) personnel and three Maoists were killed, reports The Times of India. Paramjeet, spokesperson of the central zonal committee of the outfit, in a press statement admitted three members of the organization lost their lives. He said The three cadres who died in the encounter are Prince alias Jitender, Harinder alias Uday and Bipin alias Kisan. Our brave cadres killed 10 CoBRA jawans of the CRPF. We laid the trap by giving them misleading information over the telephone which was under their surveillance. The fourth body is of a villager, not of our cadre. He said the operation was carried out to shake the confidence of the Security Forces."
TRUE,More than a week after a woman Communist Party of India Maoist CPI Maoist cadre was killed in an encounter in the forests of Lanjigarh block in Kalahandi District the Maoists identified her as Sangita and called a bandh general shutdown in two Districts in protest against the killing reports New Indian Express In a two minute audio tape released by Ghumusar Nagavalli Bansadhara division secretary Nikhil alias Niranjan Rout to a local news channel in Bhawanipatna the Maoists declared that the woman Maoist was Sangita from Adikanda village of Mohana block in Gajapati District Sangita was killed on September 15 during an exchange of fire between Special Operation Group SOG and Maoists in Phulbari forest near Katlang village under Bijepur Police limits Through the tape Nikhil informed that the division has called a bandh in Rayagada and Kalahandi Districts on September 29 protesting the encounter He stated that Sangita was active in the division for the last seven years The tape also disagreed with the statement of Deputy Inspector General DIG of South Western S Shiny and Kalahandi Superintendent of Police SP Brijesh Rai that Maoists were pushing woman cadres to the front to let them die Police are however verifying the authenticity of the tape Rai said there is no confirmed information on the matter But Police are alert to meet any eventuality and control law and order Combing operation to flush out the Maoists is continuing he added
TRUE,Three Army personnel were among six people injured in a mine explosion along the Line of Control LoC in Rajouri District on February 7 evening reports Daily Excelsior An Army team was engaged in a security clearance operation along the LoC in the Sundarbani sector when a mine exploded sources said In the blast three Army personnel and three porters were injured They were hospitalised sources added
TRUE,"At least three suspected women cadres of the Communist Party of India Maoist (CPI Maoist) were killed by the anti Maoist Special Operation Group (SOG) in an encounter in the Sahajkhaol Reserve Forest in Kalahandi District of Odisha on April 30 afternoon, reports The Indian Express. The Superintendent of Police (SP), Kalahandi, Brijesh Rai said that an exchange of fire ensued between SOG jawans and the Maoists around 5 pm near Kutra village under Ampani police outpost of Kalahandi, when the security personnel were undertaking combing operations in the area. Our operation team is yet to reach the headquarters. We will reveal identity of the Maoists after their return, Rai said. The Police said a few .303 rifles and a 9 mm pistol were also recovered."
TRUE,"Jamiat Ulema e Islam Fazl (JUI F) local leader Haji Alam Shah was killed at his residence by unidentified assailants in Paroda tehsil (revenue unit) in Dera Ismail Khan District of Khyber Pakhtunkhwa on May 18, reports The Daily Times. According to Police, three unidentified persons barged into the house of Alam and opened fire at him, killing him on the spot."
TRUE,"A Police jawan was hacked to death by suspected Communist Party of India Maoist (CPI Maoist) in Bijapur District on November 10, reports Business Standard. Assistant Constable Rahul Raidu (27), posted at Bhairamgarh Police Station, was attacked by suspected Maoists late last night close to his workplace, Bijapur Superintendent of Police (SP), K L Dhruv said. Raidu, who joined the Police Force in 2011, was also the nephew of former Congress (Bijapur) District President, Ajay Singh, a native of Bhairamgarh town, Police said. Raidu was reportedly playing cards with some villagers in Sanjay Para area, located on the outskirts of Bhairamgarh town, when a group of men armed with axes and knives arrived there and after an altercation with the jawan, they attacked him several times leaving him critically injured. The assailants fled into the forest after committing the crime, the SP said. Soon after, Raidu succumbed to his injuries during treatment, SP said. Prima facie, it appears to be the handiwork of Maoists. Although, everything will be clear after the investigation, Dhruv said."
TRUE,"A former sarpanch (local self government institution head) of a village was seriously injured in a pressure bomb blast, allegedly planted by Maoists, at Polampalli village in Sukma District on December 3, reports PTI. The Naxals (LWEs) had allegedly planted a pressure bomb on a road between Dornapal and Polampalli, and threw some propaganda material there, Police officials said. When Vetti Ballu (40) went to collect the propaganda papers, the pressure bomb exploded, injuring him grievously, they said."
TRUE,"Unidentified assailants shot at one person, identified as Micheal Nongtnger while he was entering a jungle at Porkhadoh village in West Khasi Hills District on May 30, reports The Shillong Times. Nongtnger sustained grievous injuries and is presently undergoing treatment at Nongstoin Civil Hospital. A case has been registered in this connection.Meghalaya Police will strategically deploy the new Special Multi Task Force 10 (SF 10) in counter insurgency operations in Garo Hills, reports The Shillong Times on June 1. Officials informed that the SF 10 would be deployed in a phased manner for counter insurgency operations as well as for other duties in the State. The SF 10 is the first specialized Police unit in Meghalaya which would have 180 posts exclusively reserved for women out of the total of 1200 posts. According to officials, out of the 530 candidates who were recruited in the force, half of them have completed their training. The rest will complete their training by August this year (2016).The area of focus of the SF 10 will be to tackle insurgency, engage in riot control and to ensure communal harmony especially in the border areas. Formation of the SF 10 was necessitated in the context of lack of sufficient police strength to tackle militancy and other law and order problems in the State. In the unit, regular trainings would be mandatory and special emphasis would be given on their physical fitness."
TRUE,More than 20 people including militants Police and civilians were killed in separate incidents of violence in unspecified Districts of Uruzgan Province on February 7 reports Pajhwok Afghan News
TRUE,A group of more than 50 Communist Party of India Maoist CPI Maoist cadres raided the construction camp and set ablaze five vehicles used in road construction in Giridih District on June 1 reports Bihar Prabha Five persons including the owner of the vehicle were beaten up The injured were shifted to hospital
TRUE,"Two Security Force (SF) personnel were killed in an Improvised Explosive Device (IED) blast in Awaran District in Balochistan on May 28, reports Dawn. Official sources said that personnel of the Frontier Corps (FC) were checking the Jhaho area in the district to clear it of landmines when an IED exploded near an FC vehicle. Following the blast, armed men opened fire, they added. Two soldiers of the Frontier Corps lost their lives and three others were seriously wounded in the blast, a spokesman for the FC said. He also confirmed firing after the blast. The sources said that the FC men were the target of the IED, which was exploded by a remote control."
TRUE,Former Communist Party of India Maoist CPI Maoist cadre turned gangster identified as Santosh Jha 42 who was awarded life imprisonment a few months ago in connection with the engineers double murder case in Darbhanga District was shot dead on the court premises in Sitamarhi District of Bihar on August 28 reports The Telegraph Police said that three youths armed with illegal weapons fired at Santosh when he was being escorted from the court to the hazat lock up after his production in a criminal case The assailants shot at least three bullets into Santosh s head and chest from close range in the presence of heavily armed security personnel Santosh was rushed to the Sitamarhi sadar hospital where he succumbed to his injuries Sitamarhi Superintendent of Police SP Vikas Burman said the incident took place around 2 45pm The assailants fired at least 20 rounds in the air to create panic among those present in the court compound The Police managed to arrest only one of the shooters identified as Vikas Kumar a resident of Chakia in East Champaran District of the State The police have seized a pistol and a loaded magazine from the arrested youth Sitamarhi SP Burman said
TRUE,"A man, identified as Baksh Ali, succumbed to his injuries caused during a landmine explosion in Sohbatpur District on September 10, reports Daily Times."
TRUE,"One person was killed and two Central Reserve Police Force (CRPF) troopers were injured in three blasts triggered by unidentified militant outfits in Imphal West District on November 20, reports Business Standard. Binod Roy was killed in an explosion of an Improvised Explosive Device(IED) at Singjamei Chingamathak area in Imphal West District, near an Assam Rifles (AR) camp, in the morning, Police officials said. The deceased, stated to be a non Manipuri, was en route to his iron and cement store when he fell victim to the explosion nearby, the officer said. Another explosion took place around 5 pm at BT Road near M sector, a few meters away from the camp of the AR. The spokesman of the AR said no jawan was injured in the blast. About 10 minutes later, another blast occurred within the All India Radio (AIR) complex injuring two CRPF jawan, Police officials said."
TRUE,"A Kuki Revolutionary Army (KRA) militant, identified as Yamkholen Touthang (40) of T Tuinom village, was killed by unidentified assailants near KT College under Kangpokpi Police Station in Senapati District on February 10, reports The Shillong Times. According to a Police source, the body bored a suspected bullet injury mark near the left ear which exited through left eye. KRA is under suspension of operation (SoO) pact with the Government."
TRUE,"Six children suffered injuries as unidentified assailants hurled a hand grenade in the house of one Raz Mohammad Khan in Kachkot Asad Khan village of Surani area in Bannu District, reports Dawn. The injured children were identified as Osman, Aiman, Yousaf Khan, Asad Yar Khan, Irfan and Hajra."
TRUE,Five militants including a highprofile TehreekeTaliban Pakistan TTP militant identified as Duran were killed in an intelligencebased operation carried out by Security Forces SFs in Mirak village of Kalaya tehsil revenue unit in Orakzai Agency of Federally Administered Tribal Areas FATA on March 22 reports Dawn An InterServices Public Relations press release said two FC personnel also laid down their lives in the exchange of fire that ensued during the operation The deceased were identified as Major Mudassar and Sepoy Mateeullah
TRUE,"Unidentified militants hurled a cracker bomb at Rangers check post in Korangi Town on March 21, reports The News. However, no casualties were reported. Zaman Town Police said that the explosion damaged a wall of the check post. This was the third attack on Rangers check post in the last week."
TRUE,"The Times of India reports that the founder secretary of Jharkhand Janamukti Morcha, Babu Bose, was shot dead at Binpur in West Midnapore District on September 25. Though no arrest has been made, Police suspect that he was killed by the Communist Party of India Maoist (CPI Maoist) cadres. Bose was talking to some people at Dohijuri market when two persons came on a motorcycle and shot him dead"
TRUE,"A Communist Party of India Maoist (CPI Maoist) cadre was killed in a fierce gun battle with Security Forces (SFs) in Bijapur District of Chhattisgarh on November 6, reported Press Trust of India. The exchange of fire took place in the restive area under the Basaguda Police Station limits this evening (November 6), Bijapur Additional Superintendent of Police (ASP) Indira Kalyan Elesela said. After the face off, the SFs found the body of the Maoist in uniform, a gun and two pipe bombs."
